vertex_id_0based,vertex_id_1based,x,y,z,u,v,sensor_00,sensor_10,sensor_01,sensor_11,weight_00,weight_10,weight_01,weight_11
4160,4161,-0.528758347,2.37185717,1.17189324,0.22271179720351736,0.7053528883844057,45,46,50,51,0.013650602825472563,0.11140895979284762,0.095502208360458,0.7794382290212218
4161,4162,-0.310503274,2.19270754,1.15763462,0.28769992082518026,0.6435246817951196,46,47,51,52,0.8412640768137335,0.1493903780545919,0.007936239885545497,0.0014093052461291288
4162,4163,-0.336675555,2.40419006,1.1382463,0.27990680330580464,0.7165116309536682,51,52,56,57,0.8529378763353892,0.11589929031325648,0.027434910441392193,0.003727922909962085
4163,4164,-0.117020212,2.22983217,1.1039902,0.3453118744861789,0.6563371519810239,46,47,51,52,0.5019814508314717,0.30929842143419317,0.11677105122381272,0.07194907651052239
4164,4165,-0.146958679,2.4383707,1.09032071,0.33639732891481855,0.7283080698928612,51,52,56,57,0.5259413737355374,0.27774564776440575,0.12846931060518837,0.06784366789486844
4165,4166,0.0760447457,2.2691741,1.05098438,0.40279933246622185,0.6699148578108447,46,47,51,52,0.2415211046305562,0.37967088601761845,0.1472815655045564,0.23152644384726895
4166,4167,0.0440001525,2.47469044,1.04186392,0.3932576619993572,0.740842756054307,51,52,56,57,0.26822275119199335,0.35997866404770773,0.1587466008105779,0.21305198394972102
4167,4168,0.27295965,2.31110406,1.02047646,0.46143315924373884,0.6843857458007362,46,47,51,52,0.06457625009793323,0.3540233086917608,0.08969111292711139,0.4917093282831946
4168,4169,0.237784699,2.51222634,1.0104568,0.4509593863661941,0.7537971639406911,51,52,56,57,0.08765317328331128,0.35918653154701324,0.10850928125191235,0.4446510139177631
4169,4170,0.469816238,2.35268092,0.994708717,0.5200496216280187,0.6987347717485644,47,48,52,53,0.20025292674568007,0.01746026877441941,0.7195485867422451,0.06273821773765544
4170,4171,0.431563884,2.54891682,0.983432651,0.5086595142806783,0.7664598000694962,52,53,57,58,0.26022566739619546,0.009337131630857575,0.7051362754810911,0.025300925491855822
4171,4172,0.666516721,2.39298034,0.974164605,0.5786196018348239,0.7126429269883402,47,48,52,53,0.015766326302981082,0.007232695860255934,0.6697552663577235,0.3072457114790395
4172,4173,0.624840915,2.58442283,0.958041787,0.5662101196856486,0.778713651341426,52,53,57,58,0.07205216219669537,0.025956719023340326,0.6631073590607102,0.2388837597192541
4173,4174,0.81764394,2.61837673,0.937778652,0.6236195839931772,0.7904318376626144,57,58,62,63,0.4721341180725315,0.4618201546508679,0.03338754595475981,0.03265818132184082
4174,4175,0.517690063,2.16356325,1.01458561,0.5343046399172928,0.6334663903935798,42,43,47,48,0.11343033710824572,0.018040197381637944,0.749351103222583,0.11917836228753335
4175,4176,0.718062878,2.21139503,1.006284,0.5939681019970063,0.6499741173443597,47,48,52,53,0.5619409899243317,0.33842136725463146,0.06218660208764292,0.0374510407333939
4176,4177,0.574080288,1.98203886,1.03967011,0.5510955207109475,0.57081860548934,37,38,42,43,0.006794197621505041,0.0017453255277342955,0.7888237195347051,0.2026367573160556
4177,4178,0.778604507,2.03669643,1.03637302,0.611995114224616,0.5896820523724197,42,43,47,48,0.41095164815263646,0.3334996186334889,0.14106789494889932,0.1144808382649753
4178,4179,0.638502479,1.80780232,1.06528115,0.570278017846702,0.5106860068871415,37,38,42,43,0.6113393496257835,0.23905655395423514,0.10754857898740872,0.042055517432572694
